threshold,f1,fp,fn,flagged_rate,expected_cost
0.001440472318790853,0.1309030654515327,1045,4,0.897047086991221,124500
0.0014420876977965236,0.1310116086235489,1044,4,0.8962490023942538,124400
0.0014663368929177523,0.13112033195020747,1043,4,0.8954509177972865,124300
0.0014707014197483659,0.13122923588039867,1042,4,0.8946528332003192,124200
0.001485343906097114,0.1313383208645054,1041,4,0.8938547486033519,124100
0.001492663868702948,0.1314475873544093,1040,4,0.8930566640063847,124000
0.0014966668095439672,0.1315570358034971,1039,4,0.8922585794094174,123900
0.0015053541865199804,0.13166666666666665,1038,4,0.8914604948124502,123800
0.001511840964667499,0.1317764804003336,1037,4,0.8906624102154829,123700
0.0015201523201540112,0.1318864774624374,1036,4,0.8898643256185156,123600
0.0015247479313984513,0.13199665831244778,1035,4,0.8890662410215483,123500
0.0015344716375693679,0.13210702341137123,1034,4,0.888268156424581,123400
0.0015483276220038533,0.1322175732217573,1033,4,0.8874700718276137,123300
0.0015576399164274335,0.1323283082077052,1032,4,0.8866719872306464,123200
0.0015759584493935108,0.13243922883487008,1031,4,0.8858739026336792,123100
0.0015909116482362151,0.1325503355704698,1030,4,0.8850758180367119,123000
0.0016157658537849784,0.13266162888329136,1029,4,0.8842777334397446,122900
0.001624340657144785,0.13277310924369748,1028,4,0.8834796488427773,122800
0.0016251892084255815,0.1328847771236333,1027,4,0.88268156424581,122700
0.0016276512760668993,0.132996632996633,1026,4,0.8818834796488427,122600
0.0016434774734079838,0.13310867733782644,1025,4,0.8810853950518756,122500
0.0016476615564897656,0.13322091062394603,1024,4,0.8802873104549083,122400
0.0016496117459610105,0.13333333333333333,1023,4,0.879489225857941,122300
0.0016587369609624147,0.13344594594594594,1022,4,0.8786911412609737,122200
0.0016701045678928494,0.13355874894336434,1021,4,0.8778930566640064,122100
0.0016761752776801586,0.13367174280879865,1020,4,0.8770949720670391,122000
0.0016827222425490618,0.13378492802709568,1019,4,0.8762968874700718,121900
0.0017156563699245453,0.13389830508474576,1018,4,0.8754988028731046,121800
0.0017178416019305587,0.13401187446988974,1017,4,0.8747007182761373,121700
0.0017203956376761198,0.13412563667232597,1016,4,0.87390263367917,121600
0.0017226425698027015,0.13254035683942225,1016,5,0.8731045490822027,126600
0.0017300895415246487,0.1326530612244898,1015,5,0.8723064644852354,126500
0.0017332062125205994,0.1327659574468085,1014,5,0.8715083798882681,126400
0.0017497203079983592,0.13287904599659284,1013,5,0.8707102952913008,126300
0.0017652668757364154,0.1329923273657289,1012,5,0.8699122106943336,126200
0.0017886856803670526,0.13310580204778158,1011,5,0.8691141260973663,126100
0.0017929264577105641,0.1332194705380017,1010,5,0.8683160415003991,126000
0.001832378562539816,0.13333333333333333,1009,5,0.8675179569034318,125900
0.001850697211921215,0.13344739093242086,1008,5,0.8667198723064645,125800
0.0018566364888101816,0.13356164383561644,1007,5,0.8659217877094972,125700
0.0018578493036329746,0.13367609254498714,1006,5,0.86512370311253,125600
0.0018598480382934213,0.13379073756432247,1005,5,0.8643256185155627,125500
0.0018761337269097567,0.13390557939914163,1004,5,0.8635275339185954,125400
0.0018775066128000617,0.13402061855670103,1003,5,0.8627294493216281,125300
0.0018776800716295838,0.13413585554600171,1002,5,0.8619313647246608,125200
0.0018798751989379525,0.1342512908777969,1001,5,0.8611332801276935,125100
0.0019014502177014947,0.1343669250645995,1000,5,0.8603351955307262,125000
0.0019048305694013834,0.13448275862068965,999,5,0.859537110933759,124900
0.0019225358264520764,0.13459879206212252,998,5,0.8587390263367917,124800
0.0019347334746271372,0.13471502590673576,997,5,0.8579409417398244,124700
0.0019492630381137133,0.1348314606741573,996,5,0.8571428571428571,124600
0.0019507413962855935,0.13494809688581316,995,5,0.8563447725458898,124500
0.0019558158237487078,0.13506493506493505,994,5,0.8555466879489226,124400
0.0019603315740823746,0.13518197573656845,993,5,0.8547486033519553,124300
0.0020003067329525948,0.13529921942758022,992,5,0.8539505187549881,124200
0.0020008599385619164,0.13541666666666666,991,5,0.8531524341580208,124100
0.0020201776642352343,0.1355343179843614,990,5,0.8523543495610535,124000
